n,m_constraints,density,dense_solve_ms,sparse_solve_ms,solve_ratio
800,0,0.0500,112.06,91.25,1.2281
800,0,0.1000,112.84,90.34,1.2490
800,0,0.2000,108.41,90.38,1.1994
800,0,0.3000,116.79,97.69,1.1955
800,0,0.5000,112.89,98.47,1.1465
800,0,0.6500,116.75,145.20,0.8041
800,0,0.8000,204.38,243.57,0.8391
800,0,1.0000,259.98,246.14,1.0562
800,200,0.0500,962.94,656.87,1.4660
800,200,0.1000,798.70,514.76,1.5516
800,200,0.2000,669.01,450.06,1.4865
800,200,0.3000,614.22,450.27,1.3641
800,200,0.5000,614.72,483.37,1.2717
800,200,0.6500,596.72,521.24,1.1448
800,200,0.8000,588.36,570.99,1.0304
800,200,1.0000,587.87,588.49,0.9989
800,800,0.0500,720.70,507.23,1.4209
800,800,0.1000,802.72,525.48,1.5276
800,800,0.2000,669.25,418.28,1.6000
800,800,0.3000,633.81,463.79,1.3666
800,800,0.5000,620.51,513.78,1.2077
800,800,0.6500,624.28,543.33,1.1490
800,800,0.8000,628.75,586.52,1.0720
800,800,1.0000,620.67,621.01,0.9995
800,2400,0.0500,835.00,609.14,1.3708
800,2400,0.1000,841.57,561.64,1.4984
800,2400,0.2000,720.42,503.93,1.4296
800,2400,0.3000,719.45,533.28,1.3491
800,2400,0.5000,719.91,593.00,1.2140
800,2400,0.6500,716.51,642.11,1.1159
800,2400,0.8000,722.69,686.81,1.0522
800,2400,1.0000,714.97,710.10,1.0069
