n,density,dense_solve_ms,sparse_solve_ms,solve_ratio,dense_status,sparse_status
200,0.00500,7.56,2.17,3.4823,optimal,optimal
200,0.01000,7.20,2.10,3.4327,optimal,optimal
200,0.02000,7.14,2.22,3.2163,optimal,optimal
200,0.03000,7.58,2.54,2.9815,optimal,optimal
200,0.05000,7.16,3.24,2.2108,optimal,optimal
200,0.07500,7.19,3.63,1.9780,optimal,optimal
200,0.10000,7.14,4.20,1.7007,optimal,optimal
200,0.15000,7.39,4.40,1.6798,optimal,optimal
200,0.20000,8.16,4.50,1.8115,optimal,optimal
200,0.30000,7.29,5.47,1.3318,optimal,optimal
200,0.40000,7.63,7.35,1.0384,optimal,optimal
200,0.50000,7.64,5.93,1.2887,optimal,optimal
200,0.65000,7.76,7.15,1.0856,optimal,optimal
200,0.80000,8.34,8.69,0.9596,optimal,optimal
200,1.00000,7.71,9.57,0.8055,optimal,optimal
400,0.00500,24.37,3.13,7.7913,optimal,optimal
400,0.01000,21.36,3.26,6.5531,optimal,optimal
400,0.02000,22.54,4.65,4.8470,optimal,optimal
400,0.03000,21.33,7.77,2.7432,optimal,optimal
400,0.05000,22.01,10.51,2.0944,optimal,optimal
400,0.07500,22.62,11.64,1.9434,optimal,optimal
400,0.10000,21.87,13.29,1.6452,optimal,optimal
400,0.15000,24.64,25.70,0.9590,optimal,optimal
400,0.20000,21.97,14.57,1.5082,optimal,optimal
400,0.30000,22.62,19.01,1.1901,optimal,optimal
400,0.40000,21.43,16.74,1.2804,optimal,optimal
400,0.50000,23.24,17.86,1.3015,optimal,optimal
400,0.65000,23.99,19.69,1.2181,optimal,optimal
400,0.80000,21.81,21.32,1.0229,optimal,optimal
400,1.00000,21.38,21.98,0.9724,optimal,optimal
800,0.00500,150.00,21.37,7.0191,optimal,optimal
800,0.01000,204.72,53.02,3.8609,optimal,optimal
800,0.02000,222.56,90.72,2.4534,optimal,optimal
800,0.03000,217.53,102.93,2.1134,optimal,optimal
800,0.05000,207.73,107.72,1.9285,optimal,optimal
800,0.07500,199.97,115.53,1.7309,optimal,optimal
800,0.10000,197.77,116.23,1.7015,optimal,optimal
800,0.15000,193.37,120.46,1.6054,optimal,optimal
800,0.20000,189.44,130.65,1.4500,optimal,optimal
800,0.30000,187.07,136.32,1.3723,optimal,optimal
800,0.40000,185.64,146.03,1.2713,optimal,optimal
800,0.50000,183.22,155.55,1.1778,optimal,optimal
800,0.65000,183.23,165.47,1.1074,optimal,optimal
800,0.80000,182.16,177.33,1.0273,optimal,optimal
800,1.00000,177.75,183.82,0.9670,optimal,optimal
1200,0.00500,375.67,44.96,8.3547,optimal,optimal
1200,0.01000,360.53,84.15,4.2845,optimal,optimal
1200,0.02000,365.31,149.44,2.4445,optimal,optimal
1200,0.03000,362.71,163.22,2.2222,optimal,optimal
1200,0.05000,366.71,179.52,2.0427,optimal,optimal
1200,0.07500,366.20,197.29,1.8562,optimal,optimal
1200,0.10000,367.18,202.11,1.8167,optimal,optimal
1200,0.15000,360.25,212.88,1.6923,optimal,optimal
1200,0.20000,362.93,221.15,1.6411,optimal,optimal
1200,0.30000,355.24,253.19,1.4030,optimal,optimal
1200,0.40000,350.99,278.61,1.2598,optimal,optimal
1200,0.50000,361.95,300.19,1.2057,optimal,optimal
1200,0.65000,361.96,379.91,0.9527,optimal,optimal
1200,0.80000,400.10,397.66,1.0061,optimal,optimal
1200,1.00000,390.57,382.66,1.0207,optimal,optimal
